id,name,description,equation,category,icon,variables_json,num_variables
"projectile-motion","Projectile Motion (Full)","Complete projectile solver. Given any 3 of 5 variables, derives the other 2.","R = v²sin(2θ)/g,  H = v²sin²(θ)/(2g),  T = 2v·sin(θ)/g","Mechanics","Cog","[{""id"":""R"",""label"":""Range (R)"",""unit"":""m""},{""id"":""H"",""label"":""Max Height (H)"",""unit"":""m""},{""id"":""T"",""label"":""Flight Time (T)"",""unit"":""s""},{""id"":""v"",""label"":""Initial Velocity (v₀)"",""unit"":""m/s""},{""id"":""theta"",""label"":""Launch Angle (θ)"",""unit"":""°""}]",5
"relativistic-energy","Relativistic Energy-Momentum","E²=(pc)²+(m₀c²)². Given any 2 of E,p,m₀,v — derives the rest plus γ and β.","E² = (pc)² + (m₀c²)²","Mechanics","Cog","[{""id"":""E"",""label"":""Total Energy (E)"",""unit"":""J""},{""id"":""p"",""label"":""Momentum (p)"",""unit"":""kg·m/s""},{""id"":""m0"",""label"":""Rest Mass (m₀)"",""unit"":""kg""},{""id"":""v"",""label"":""Velocity (v)"",""unit"":""m/s""}]",4
"elastic-collision","1D Elastic Collision","Full elastic collision with conservation verification.","v₁f = [(m₁−m₂)v₁ᵢ + 2m₂v₂ᵢ] / (m₁+m₂)","Mechanics","Cog","[{""id"":""m1"",""label"":""Mass 1 (m₁)"",""unit"":""kg""},{""id"":""m2"",""label"":""Mass 2 (m₂)"",""unit"":""kg""},{""id"":""v1i"",""label"":""Initial Vel 1 (v₁ᵢ)"",""unit"":""m/s""},{""id"":""v2i"",""label"":""Initial Vel 2 (v₂ᵢ)"",""unit"":""m/s""}]",4
"shm","Simple Harmonic Motion","Full SHM: ω=√(k/m), T=2π/ω. Given any 2, derives all plus max v, a, KE.","ω = √(k/m),  T = 2π/ω,  x(t) = A·cos(ωt+φ)","Mechanics","Cog","[{""id"":""A"",""label"":""Amplitude (A)"",""unit"":""m""},{""id"":""omega"",""label"":""Angular Freq (ω)"",""unit"":""rad/s""},{""id"":""T"",""label"":""Period (T)"",""unit"":""s""},{""id"":""f"",""label"":""Frequency (f)"",""unit"":""Hz""},{""id"":""k"",""label"":""Spring Const (k)"",""unit"":""N/m""},{""id"":""m"",""label"":""Mass (m)"",""unit"":""kg""}]",6
"newtons-second-law","Newton's Second Law","F=ma. Solves for Force, Mass, or Acceleration.","F = m × a","Mechanics","Cog","[{""id"":""F"",""label"":""Force (F)"",""unit"":""N""},{""id"":""m"",""label"":""Mass (m)"",""unit"":""kg""},{""id"":""a"",""label"":""Acceleration (a)"",""unit"":""m/s²""}]",3
"work-energy","Work-Energy Theorem","W=ΔKE=½mv₂²−½mv₁². Solves for Work, Mass, or either velocity.","W = ½mv₂² − ½mv₁²","Mechanics","Cog","[{""id"":""W"",""label"":""Net Work (W)"",""unit"":""J""},{""id"":""m"",""label"":""Mass (m)"",""unit"":""kg""},{""id"":""v1"",""label"":""Initial Vel (v₁)"",""unit"":""m/s""},{""id"":""v2"",""label"":""Final Vel (v₂)"",""unit"":""m/s""}]",4
"gravitation","Universal Gravitation","F=Gm₁m₂/r². Solves for Force, either Mass, or Distance.","F = G × m₁ × m₂ / r²","Mechanics","Cog","[{""id"":""F"",""label"":""Force (F)"",""unit"":""N""},{""id"":""m1"",""label"":""Mass 1 (m₁)"",""unit"":""kg""},{""id"":""m2"",""label"":""Mass 2 (m₂)"",""unit"":""kg""},{""id"":""r"",""label"":""Distance (r)"",""unit"":""m""}]",4
"rc-circuit","RC Circuit (Charging)","V(t)=V₀(1−e^(−t/RC)). Solves for voltage, R, C, time, or time constant.","V(t) = V₀(1 − e^(−t/RC)),  τ = RC","Electricity & Magnetism","Zap","[{""id"":""Vt"",""label"":""Voltage at t (V(t))"",""unit"":""V""},{""id"":""V0"",""label"":""Source Voltage (V₀)"",""unit"":""V""},{""id"":""R"",""label"":""Resistance (R)"",""unit"":""Ω""},{""id"":""C"",""label"":""Capacitance (C)"",""unit"":""F""},{""id"":""t"",""label"":""Time (t)"",""unit"":""s""}]",5
"rlc-impedance","RLC Series Impedance","Z=√(R²+(XL−XC)²). Computes impedance, resonance, phase, Q-factor.","Z = √(R² + (ωL − 1/(ωC))²),  f₀ = 1/(2π√(LC))","Electricity & Magnetism","Zap","[{""id"":""R"",""label"":""Resistance (R)"",""unit"":""Ω""},{""id"":""L"",""label"":""Inductance (L)"",""unit"":""H""},{""id"":""C"",""label"":""Capacitance (C)"",""unit"":""F""},{""id"":""f"",""label"":""Frequency (f)"",""unit"":""Hz""},{""id"":""Z"",""label"":""Impedance (Z)"",""unit"":""Ω""}]",5
"ohms-law","Ohm's Law","V=IR. Solves for Voltage, Current, or Resistance.","V = I × R","Electricity & Magnetism","Zap","[{""id"":""V"",""label"":""Voltage (V)"",""unit"":""V""},{""id"":""I"",""label"":""Current (I)"",""unit"":""A""},{""id"":""R"",""label"":""Resistance (R)"",""unit"":""Ω""}]",3
